anio_hidro;mes;Qmax_inst;Qmd_max;fecha;RI;clase_RI;clase_magnitud
1980;3;2.3;2.3;1980-03-01;1.0;Progresiva;Ordinario
1980;4;19.0;6.3;1980-04-01;3.015873015873016;Flash flood;Notable
1980;5;5.66;2.3;1980-05-01;2.4608695652173918;Flash flood;Ordinario
1980;6;2.3;2.3;1980-06-01;1.0;Progresiva;Ordinario
1980;7;1.82;1.82;1980-07-01;1.0;Progresiva;Ordinario
1980;8;1.82;1.82;1980-08-01;1.0;Progresiva;Ordinario
1980;9;1.82;1.82;1980-09-01;1.0;Progresiva;Ordinario
1980;10;80.0;47.0;1979-10-01;1.702127659574468;Rápida;Significativo
1980;11;3.1;3.1;1979-11-01;1.0;Progresiva;Ordinario
1980;12;1.82;1.82;1979-12-01;1.0;Progresiva;Ordinario
1981;1;1.02;1.02;1981-01-01;1.0;Progresiva;Ordinario
1981;2;6.51;2.14;1981-02-01;3.042056074766355;Flash flood;Notable
1981;3;1.5;1.5;1981-03-01;1.0;Progresiva;Ordinario
1981;4;6.7;2.78;1981-04-01;2.4100719424460433;Flash flood;Notable
1981;5;2.78;2.3;1981-05-01;1.208695652173913;Moderada;Ordinario
1981;6;2.14;2.14;1981-06-01;1.0;Progresiva;Ordinario
1981;7;1.82;1.82;1981-07-01;1.0;Progresiva;Ordinario
1981;8;1.26;1.26;1981-08-01;1.0;Progresiva;Ordinario
1981;9;1.5;1.5;1981-09-01;1.0;Progresiva;Ordinario
1981;10;1.82;1.82;1980-10-01;1.0;Progresiva;Ordinario
1981;11;21.0;4.06;1980-11-01;5.172413793103448;Flash flood;Notable
1981;12;1.02;1.02;1980-12-01;1.0;Progresiva;Ordinario
1982;1;3.7;3.7;1982-01-01;1.0;Progresiva;Ordinario
1982;2;3.55;3.55;1982-02-01;1.0;Progresiva;Ordinario
1982;3;1.51;1.51;1982-03-01;1.0;Progresiva;Ordinario
1982;4;0.45;0.45;1982-04-01;1.0;Progresiva;Ordinario
1982;5;1.39;1.395;1982-05-01;0.996415770609319;Progresiva;Ordinario
1982;6;3.7;1.74;1982-06-01;2.1264367816091956;Flash flood;Ordinario
1982;7;0.67;0.675;1982-07-01;0.9925925925925926;Progresiva;Ordinario
1982;8;0.67;0.675;1982-08-01;0.9925925925925926;Progresiva;Ordinario
1982;9;500.0;13.0;1982-09-01;;;Excepcional
1982;10;23.75;2.8;1981-10-01;8.482142857142858;Flash flood;Notable
1982;11;0.9;0.9;1981-11-01;1.0;Progresiva;Ordinario
1982;12;42.16;5.22;1981-12-01;8.07662835249042;Flash flood;Notable
1983;1;1.51;1.51;1983-01-01;1.0;Progresiva;Ordinario
1983;2;2.5;2.2;1983-02-01;1.1363636363636362;Progresiva;Ordinario
1983;3;1.51;1.51;1983-03-01;1.0;Progresiva;Ordinario
1983;4;31.6;10.0;1983-04-01;3.16;Flash flood;Notable
1983;5;34.7;14.2;1983-05-01;2.4436619718309864;Flash flood;Notable
1983;6;5.22;3.4;1983-06-01;1.5352941176470587;Rápida;Ordinario
1983;7;1.74;1.74;1983-07-01;1.0;Progresiva;Ordinario
1983;8;1.05;1.05;1983-08-01;1.0;Progresiva;Ordinario
1983;9;1.05;1.05;1983-09-01;1.0;Progresiva;Ordinario
1983;10;3.1;3.1;1982-10-01;1.0;Progresiva;Ordinario
1983;11;32.9;32.9;1982-11-01;1.0;Progresiva;Notable
1983;12;3.7;3.7;1982-12-01;1.0;Progresiva;Ordinario
1984;1;7.64;5.62;1984-01-01;1.3594306049822062;Moderada;Notable
1984;2;3.58;3.58;1984-02-01;1.0;Progresiva;Ordinario
1984;3;5.18;3.58;1984-03-01;1.446927374301676;Moderada;Ordinario
1984;4;6.06;3.22;1984-04-01;1.8819875776397512;Rápida;Notable
1984;5;2.5;2.5;1984-05-01;1.0;Progresiva;Ordinario
1984;6;2.5;2.5;1984-06-01;1.0;Progresiva;Ordinario
1984;7;2.15;2.15;1984-07-01;1.0;Progresiva;Ordinario
1984;8;0.47;0.47;1984-08-01;1.0;Progresiva;Ordinario
1984;9;0.47;0.47;1984-09-01;1.0;Progresiva;Ordinario
1984;10;0.75;0.75;1983-10-01;1.0;Progresiva;Ordinario
1984;11;500.0;14.96;1983-11-01;;;Excepcional
1984;12;51.8;13.56;1983-12-01;3.8200589970501473;Flash flood;Significativo
1985;1;250.0;17.24;1985-01-01;;;Excepcional
1985;2;39.8;8.4;1985-02-01;4.738095238095237;Flash flood;Notable
1985;3;1.8;1.8;1985-03-01;1.0;Progresiva;Ordinario
1985;4;48.2;7.26;1985-04-01;6.639118457300276;Flash flood;Notable
1985;5;1.8;1.625;1985-05-01;1.1076923076923078;Progresiva;Ordinario
1985;6;;1.45;1985-06-01;;;
1985;7;;0.925;1985-07-01;;;
1985;8;;0.75;1985-08-01;;;
1985;9;;0.75;1985-09-01;;;
1985;10;11.0;1.975;1984-10-01;5.5696202531645564;Flash flood;Notable
1985;11;49.4;14.2;1984-11-01;3.47887323943662;Flash flood;Significativo
1985;12;8.4;7.07;1984-12-01;1.188118811881188;Progresiva;Notable
1986;1;2.149;2.149;1986-01-01;1.0;Progresiva;Ordinario
1986;2;61.399;8.209;1986-02-01;7.4794737483250096;Flash flood;Significativo
1986;3;4.299;4.119;1986-03-01;1.0436999271667882;Progresiva;Ordinario
1986;4;3.039;1.624;1986-04-01;1.8713054187192117;Rápida;Ordinario
1986;5;4.299;3.579;1986-05-01;1.201173512154233;Moderada;Ordinario
1986;6;2.499;2.499;1986-06-01;1.0;Progresiva;Ordinario
1986;7;0.75;0.75;1986-07-01;1.0;Progresiva;Ordinario
1986;8;0.75;0.75;1986-08-01;1.0;Progresiva;Ordinario
1986;9;49.399;6.879;1986-09-01;7.181130978339875;Flash flood;Significativo
1986;10;0.3;0.3;1985-10-01;1.0;Progresiva;Ordinario
1986;11;2.149;0.6;1985-11-01;3.581666666666667;Flash flood;Ordinario
1986;12;12.919;2.324;1985-12-01;5.558950086058521;Flash flood;Notable
1987;1;200.0;;1987-01-01;;;Extremo
