evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
114;1996-05-06;1996-06-19;49.93;10.75068888888889;483.781;45;6.049571428571428;8.253477223888352
115;1996-09-20;1996-09-24;1.242;1.1428;5.714;5;0.073;17.013698630136986
116;1996-10-14;1996-10-14;10.085;10.085;10.085;1;0.6531428571428571;15.440726159230097
117;1996-12-11;1997-01-03;103.704;38.092166666666664;914.212;24;0.9109999999999998;113.83534577387488
118;1997-01-10;1997-01-14;18.516;11.594199999999999;57.971;5;7.081571428571428;2.614673902079845
119;1997-01-16;1997-01-23;18.516;11.813875;94.511;8;10.338428571428569;1.7909878539153508
120;1997-04-20;1997-04-20;15.869;15.869;15.869;1;2.507142857142857;6.329515669515669
121;1997-05-19;1997-05-20;14.63;10.9145;21.829;2;2.1412857142857145;6.832343718727066
122;1997-06-02;1997-06-15;39.54;10.731785714285715;150.245;14;3.3752857142857144;11.714563846446861
123;1997-09-26;1997-09-30;2.204;1.6418;8.209;5;0.07314285714285715;30.1328125
124;1997-10-20;1997-10-24;12.83;9.3876;46.938;5;1.1505714285714286;11.150980879066303
125;1997-10-27;1997-10-29;26.099;14.146666666666667;42.44;3;7.7584285714285715;3.363954409029811
126;1997-11-03;1997-11-18;101.891;28.0065;448.104;16;7.912142857142858;12.877800848605217
127;1997-11-25;1997-11-27;22.109;14.339333333333334;43.018;3;2.6061428571428573;8.483418297429152
128;1997-12-17;1998-01-01;148.026;29.830375;477.286;16;2.596857142857143;57.00198041588734
129;1998-01-12;1998-01-17;24.435;13.081166666666666;78.487;6;5.6814285714285715;4.300854915765652
130;1998-02-02;1998-02-04;24.435;16.462;49.385999999999996;3;3.020285714285714;8.090294201116262
131;1998-02-12;1998-02-12;8.079;8.079;8.079;1;5.448999999999999;1.4826573683244637
132;1998-03-29;1998-03-30;41.716;26.4315;52.863;2;0.651;64.07987711213518
133;1998-04-04;1998-04-04;10.586;10.586;10.586;1;11.014428571428569;0.9611029688330893
134;1998-05-29;1998-06-09;36.361;11.415166666666666;136.982;12;1.7230000000000003;21.10330818340104
135;1998-12-30;1998-12-30;7.199;7.199;7.199;1;0.10742857142857143;67.01196808510637
136;1999-01-09;1999-01-09;7.639;7.639;7.639;1;1.4481428571428572;5.275032060767486
137;1999-01-17;1999-01-17;7.639;7.639;7.639;1;2.725142857142857;2.803155797861187
138;1999-05-07;1999-05-07;18.516;18.516;18.516;1;3.8215714285714286;4.845127284961309
